"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2008","18","18000","Indiana","6,175,905","799,567","783,820","815,314","783,820 to 815,314","12.9","12.7","13.2","12.7 to 13.2","1,549,507","277,503","267,487","287,520","267,487 to 287,520","17.9","17.3","18.6","17.3 to 18.6","1,111,855","176,397","167,904","184,890","167,904 to 184,890","15.9","15.1","16.6","15.1 to 16.6","430,010","94,186","89,069","99,303","89,069 to 99,303","21.9","20.7","23.1","20.7 to 23.1","$48,010","$47,481","$48,540","$47,481 to $48,540"
"2007","18","18000","Indiana","6,145,054","755,245","740,873","769,617","740,873 to 769,617","12.3","12.1","12.5","12.1 to 12.5","1,549,769","265,192","256,302","274,081","256,302 to 274,081","17.1","16.5","17.7","16.5 to 17.7","1,111,954","166,365","158,735","173,995","158,735 to 173,995","15.0","14.3","15.6","14.3 to 15.6","427,607","89,290","84,777","93,803","84,777 to 93,803","20.9","19.8","21.9","19.8 to 21.9","$47,422","$47,052","$47,793","$47,052 to $47,793"
"2006","18","18000","Indiana","6,125,594","768,642","752,872","784,412","752,872 to 784,412","12.5","12.3","12.8","12.3 to 12.8","1,546,475","268,729","258,879","278,579","258,879 to 278,579","17.4","16.7","18.0","16.7 to 18.0","1,113,030","169,960","161,204","178,716","161,204 to 178,716","15.3","14.5","16.1","14.5 to 16.1","423,165","89,319","84,762","93,877","84,762 to 93,877","21.1","20.0","22.2","20.0 to 22.2","$45,414","$45,005","$45,822","$45,005 to $45,822"
"2015","19","19000","Iowa","3,021,824","366,453","356,824","376,082","356,824 to 376,082","12.1","11.8","12.4","11.8 to 12.4","714,884","106,192","101,134","111,250","101,134 to 111,250","14.9","14.2","15.6","14.2 to 15.6","518,932","71,253","66,857","75,649","66,857 to 75,649","13.7","12.9","14.5","12.9 to 14.5","192,728","31,492","29,049","33,935","29,049 to 33,935","16.3","15.0","17.6","15.0 to 17.6","$54,843","$54,080","$55,606","$54,080 to $55,606"
"2014","19","19000","Iowa","3,004,852","368,678","358,553","378,803","358,553 to 378,803","12.3","12.0","12.6","12.0 to 12.6","710,872","110,382","104,929","115,835","104,929 to 115,835","15.5","14.7","16.3","14.7 to 16.3","516,120","74,948","69,961","79,935","69,961 to 79,935","14.5","13.5","15.5","13.5 to 15.5","191,272","31,946","29,841","34,051","29,841 to 34,051","16.7","15.6","17.8","15.6 to 17.8","$53,816","$53,087","$54,545","$53,087 to $54,545"
"2013","19","19000","Iowa","2,991,661","377,037","367,316","386,758","367,316 to 386,758","12.6","12.3","12.9","12.3 to 12.9","712,692","114,304","108,740","119,868","108,740 to 119,868","16.0","15.2","16.8","15.2 to 16.8","516,865","77,634","72,731","82,537","72,731 to 82,537","15.0","14.1","15.9","14.1 to 15.9","191,326","32,564","29,925","35,203","29,925 to 35,203","17.0","15.6","18.4","15.6 to 18.4","$52,286","$51,764","$52,808","$51,764 to $52,808"
"2012","19","19000","Iowa","2,974,222","377,110","367,628","386,592","367,628 to 386,592","12.7","12.4","13.0","12.4 to 13.0","710,390","114,105","108,686","119,524","108,686 to 119,524","16.1","15.3","16.9","15.3 to 16.9","514,519","73,339","68,587","78,091","68,587 to 78,091","14.3","13.4","15.2","13.4 to 15.2","193,065","37,956","35,450","40,462","35,450 to 40,462","19.7","18.4","21.0","18.4 to 21.0","$50,997","$50,573","$51,421","$50,573 to $51,421"
"2011","19","19000","Iowa","2,963,596","376,300","367,232","385,368","367,232 to 385,368","12.7","12.4","13.0","12.4 to 13.0","710,854","121,250","115,876","126,624","115,876 to 126,624","17.1","16.3","17.9","16.3 to 17.9","512,079","78,963","74,168","83,758","74,168 to 83,758","15.4","14.5","16.3","14.5 to 16.3","195,692","39,198","36,602","41,794","36,602 to 41,794","20.0","18.7","21.3","18.7 to 21.3","$49,545","$48,882","$50,208","$48,882 to $50,208"
"2010","19","19000","Iowa","2,950,202","368,965","358,787","379,143","358,787 to 379,143","12.5","12.2","12.8","12.2 to 12.8","712,652","115,731","110,103","121,359","110,103 to 121,359","16.2","15.4","17.0","15.4 to 17.0","511,131","72,763","67,783","77,743","67,783 to 77,743","14.2","13.2","15.2","13.2 to 15.2","197,934","39,502","36,745","42,259","36,745 to 42,259","20.0","18.6","21.4","18.6 to 21.4","$48,031","$47,421","$48,641","$47,421 to $48,641"
"2009","19","19000","Iowa","2,905,377","342,309","333,186","351,431","333,186 to 351,431","11.8","11.5","12.1","11.5 to 12.1","701,002","109,384","104,021","114,747","104,021 to 114,747","15.6","14.8","16.4","14.8 to 16.4","495,294","64,558","60,055","69,061","60,055 to 69,061","13.0","12.1","13.9","12.1 to 13.9","200,099","40,160","37,259","43,061","37,259 to 43,061","20.1","18.6","21.5","18.6 to 21.5","$48,065","$47,648","$48,482","$47,648 to $48,482"
"2008","19","19000","Iowa","2,899,767","331,057","322,082","340,033","322,082 to 340,033","11.4","11.1","11.7","11.1 to 11.7","700,634","99,569","94,498","104,640","94,498 to 104,640","14.2","13.5","14.9","13.5 to 14.9","498,284","59,823","55,513","64,133","55,513 to 64,133","12.0","11.1","12.9","11.1 to 12.9","197,143","35,072","32,439","37,704","32,439 to 37,704","17.8","16.5","19.1","16.5 to 19.1","$49,007","$48,380","$49,634","$48,380 to $49,634"
"2007","19","19000","Iowa","2,881,771","316,303","307,371","325,234","307,371 to 325,234","11.0","10.7","11.3","10.7 to 11.3","695,509","95,200","90,288","100,111","90,288 to 100,111","13.7","13.0","14.4","13.0 to 14.4","500,413","58,426","54,149","62,703","54,149 to 62,703","11.7","10.8","12.5","10.8 to 12.5","190,977","32,798","30,381","35,214","30,381 to 35,214","17.2","15.9","18.4","15.9 to 18.4","$47,324","$46,771","$47,877","$46,771 to $47,877"
"2006","19","19000","Iowa","2,878,433","315,973","308,007","323,939","308,007 to 323,939","11.0","10.7","11.3","10.7 to 11.3","696,074","96,323","91,986","100,659","91,986 to 100,659","13.8","13.2","14.5","13.2 to 14.5","502,995","59,918","56,081","63,755","56,081 to 63,755","11.9","11.1","12.7","11.1 to 12.7","188,416","31,958","29,927","33,989","29,927 to 33,989","17.0","15.9","18.0","15.9 to 18.0","$44,560","$44,059","$45,061","$44,059 to $45,061"
"2015","20","20000","Kansas","2,830,955","366,069","355,837","376,301","355,837 to 376,301","12.9","12.5","13.3","12.5 to 13.3","710,104","119,994","114,388","125,600","114,388 to 125,600","16.9","16.1","17.7","16.1 to 17.7","512,077","78,192","73,349","83,035","73,349 to 83,035","15.3","14.4","16.2","14.4 to 16.2","194,049","38,465","35,759","41,171","35,759 to 41,171","19.8","18.4","21.2","18.4 to 21.2","$53,802","$52,963","$54,641","$52,963 to $54,641"
"2014","20","20000","Kansas","2,821,429","381,506","371,806","391,206","371,806 to 391,206","13.5","13.2","13.8","13.2 to 13.8","711,445","125,562","120,243","130,881","120,243 to 130,881","17.6","16.9","18.3","16.9 to 18.3","510,605","83,873","79,397","88,349","79,397 to 88,349","16.4","15.5","17.3","15.5 to 17.3","197,242","38,604","35,853","41,355","35,853 to 41,355","19.6","18.2","21.0","18.2 to 21.0","$52,392","$51,712","$53,072","$51,712 to $53,072"
"2013","20","20000","Kansas","2,811,674","391,718","380,565","402,871","380,565 to 402,871","13.9","13.5","14.3","13.5 to 14.3","713,209","131,251","124,782","137,720","124,782 to 137,720","18.4","17.5","19.3","17.5 to 19.3","512,053","84,325","78,956","89,694","78,956 to 89,694","16.5","15.5","17.5","15.5 to 17.5","197,471","43,706","40,107","47,305","40,107 to 47,305","22.1","20.3","23.9","20.3 to 23.9","$50,892","$50,299","$51,485","$50,299 to $51,485"
"2012","20","20000","Kansas","2,802,171","392,095","383,225","400,965","383,225 to 400,965","14.0","13.7","14.3","13.7 to 14.3","711,813","135,261","130,015","140,507","130,015 to 140,507","19.0","18.3","19.7","18.3 to 19.7","508,674","87,594","82,882","92,306","82,882 to 92,306","17.2","16.3","18.1","16.3 to 18.1","199,388","44,479","42,128","46,830","42,128 to 46,830","22.3","21.1","23.5","21.1 to 23.5","$50,140","$49,632","$50,648","$49,632 to $50,648"
"2011","20","20000","Kansas","2,786,839","383,859","373,991","393,727","373,991 to 393,727","13.8","13.4","14.2","13.4 to 14.2","710,722","133,478","128,023","138,933","128,023 to 138,933","18.8","18.0","19.6","18.0 to 19.6","507,925","82,311","77,941","86,681","77,941 to 86,681","16.2","15.3","17.1","15.3 to 17.1","199,241","47,727","44,420","51,034","44,420 to 51,034","24.0","22.3","25.7","22.3 to 25.7","$48,844","$48,127","$49,561","$48,127 to $49,561"
"2010","20","20000","Kansas","2,775,358","374,677","364,111","385,243","364,111 to 385,243","13.5","13.1","13.9","13.1 to 13.9","714,397","129,009","122,672","135,346","122,672 to 135,346","18.1","17.2","19.0","17.2 to 19.0","508,829","81,077","75,631","86,523","75,631 to 86,523","15.9","14.8","17.0","14.8 to 17.0","201,917","44,653","41,582","47,724","41,582 to 47,724","22.1","20.6","23.6","20.6 to 23.6","$47,888","$47,096","$48,680","$47,096 to $48,680"
"2009","20","20000","Kansas","2,732,646","359,692","349,833","369,551","349,833 to 369,551","13.2","12.8","13.5","12.8 to 13.5","691,551","118,187","112,221","124,153","112,221 to 124,153","17.1","16.2","18.0","16.2 to 18.0","487,475","71,850","66,966","76,734","66,966 to 76,734","14.7","13.7","15.7","13.7 to 15.7","200,586","43,084","39,854","46,314","39,854 to 46,314","21.5","19.9","23.1","19.9 to 23.1","$47,709","$47,074","$48,343","$47,074 to $48,343"
"2008","20","20000","Kansas","2,716,645","307,804","298,971","316,637","298,971 to 316,637","11.3","11.0","11.7","11.0 to 11.7","687,997","100,146","95,023","105,269","95,023 to 105,269","14.6","13.8","15.3","13.8 to 15.3","486,254","59,842","55,420","64,264","55,420 to 64,264","12.3","11.4","13.2","11.4 to 13.2","197,609","36,417","33,847","38,986","33,847 to 38,986","18.4","17.1","19.7","17.1 to 19.7","$50,174","$49,702","$50,646","$49,702 to $50,646"
"2007","20","20000","Kansas","2,688,964","301,826","293,408","310,244","293,408 to 310,244","11.2","10.9","11.5","10.9 to 11.5","682,056","100,242","95,557","104,928","95,557 to 104,928","14.7","14.0","15.4","14.0 to 15.4","483,941","61,149","57,092","65,206","57,092 to 65,206","12.6","11.8","13.5","11.8 to 13.5","192,761","34,510","32,157","36,863","32,157 to 36,863","17.9","16.7","19.1","16.7 to 19.1","$47,341","$46,733","$47,949","$46,733 to $47,949"
"2006","20","20000","Kansas","2,679,947","327,103","319,106","335,100","319,106 to 335,100","12.2","11.9","12.5","11.9 to 12.5","685,037","105,191","100,418","109,965","100,418 to 109,965","15.4","14.7","16.1","14.7 to 16.1","489,323","64,427","60,249","68,605","60,249 to 68,605","13.2","12.3","14.0","12.3 to 14.0","191,289","36,901","34,689","39,114","34,689 to 39,114","19.3","18.1","20.4","18.1 to 20.4","$45,369","$44,881","$45,856","$44,881 to $45,856"
"2015","21","21000","Kentucky","4,290,011","786,345","770,810","801,880","770,810 to 801,880","18.3","17.9","18.7","17.9 to 18.7","988,644","250,180","242,109","258,251","242,109 to 258,251","25.3","24.5","26.1","24.5 to 26.1","713,167","169,618","162,702","176,534","162,702 to 176,534","23.8","22.8","24.8","22.8 to 24.8","270,125","75,486","71,385","79,587","71,385 to 79,587","27.9","26.4","29.4","26.4 to 29.4","$45,178","$44,714","$45,642","$44,714 to $45,642"
"2014","21","21000","Kentucky","4,275,418","812,803","797,212","828,394","797,212 to 828,394","19.0","18.6","19.4","18.6 to 19.4","988,287","256,368","249,013","263,723","249,013 to 263,723","25.9","25.2","26.6","25.2 to 26.6","714,255","171,281","165,044","177,518","165,044 to 177,518","24.0","23.1","24.9","23.1 to 24.9","267,930","79,636","75,937","83,335","75,937 to 83,335","29.7","28.3","31.1","28.3 to 31.1","$42,914","$42,243","$43,585","$42,243 to $43,585"
"2013","21","21000","Kentucky","4,266,545","803,044","788,501","817,587","788,501 to 817,587","18.8","18.5","19.1","18.5 to 19.1","994,801","253,390","244,601","262,179","244,601 to 262,179","25.5","24.6","26.4","24.6 to 26.4","722,537","171,420","163,807","179,033","163,807 to 179,033","23.7","22.6","24.8","22.6 to 24.8","267,674","77,366","73,276","81,456","73,276 to 81,456","28.9","27.4","30.4","27.4 to 30.4","$43,307","$42,676","$43,938","$42,676 to $43,938"
"2012","21","21000","Kentucky","4,247,112","821,067","805,992","836,142","805,992 to 836,142","19.3","18.9","19.7","18.9 to 19.7","994,720","263,744","255,986","271,502","255,986 to 271,502","26.5","25.7","27.3","25.7 to 27.3","718,292","176,603","169,899","183,307","169,899 to 183,307","24.6","23.7","25.5","23.7 to 25.5","272,272","83,057","79,340","86,774","79,340 to 86,774","30.5","29.1","31.9","29.1 to 31.9","$41,717","$41,304","$42,130","$41,304 to $42,130"
"2011","21","21000","Kentucky","4,238,365","809,764","794,106","825,422","794,106 to 825,422","19.1","18.7","19.5","18.7 to 19.5","999,754","272,115","263,587","280,643","263,587 to 280,643","27.2","26.3","28.1","26.3 to 28.1","718,042","179,847","172,495","187,199","172,495 to 187,199","25.0","24.0","26.0","24.0 to 26.0","275,386","86,781","82,189","91,373","82,189 to 91,373","31.5","29.8","33.2","29.8 to 33.2","$41,141","$40,687","$41,595","$40,687 to $41,595"
"2010","21","21000","Kentucky","4,215,618","796,208","781,996","810,420","781,996 to 810,420","18.9","18.6","19.2","18.6 to 19.2","1,001,560","261,696","253,671","269,721","253,671 to 269,721","26.1","25.3","26.9","25.3 to 26.9","720,109","171,016","164,346","177,686","164,346 to 177,686","23.7","22.8","24.6","22.8 to 24.6","275,332","85,526","81,231","89,821","81,231 to 89,821","31.1","29.5","32.7","29.5 to 32.7","$40,089","$39,605","$40,573","$39,605 to $40,573"
"2009","21","21000","Kentucky","4,187,651","771,876","756,732","787,019","756,732 to 787,019","18.4","18.1","18.8","18.1 to 18.8","994,369","251,684","243,202","260,167","243,202 to 260,167","25.3","24.5","26.2","24.5 to 26.2","708,020","162,544","155,384","169,704","155,384 to 169,704","23.0","21.9","24.0","21.9 to 24.0","281,227","84,400","79,880","88,921","79,880 to 88,921","30.0","28.4","31.6","28.4 to 31.6","$40,061","$39,545","$40,577","$39,545 to $40,577"
"2008","21","21000","Kentucky","4,154,953","716,951","702,312","731,590","702,312 to 731,590","17.3","16.9","17.6","16.9 to 17.6","992,284","232,097","224,401","239,794","224,401 to 239,794","23.4","22.6","24.2","22.6 to 24.2","706,141","147,795","141,065","154,525","141,065 to 154,525","20.9","20.0","21.9","20.0 to 21.9","279,295","78,680","74,763","82,597","74,763 to 82,597","28.2","26.8","29.6","26.8 to 29.6","$41,489","$41,049","$41,930","$41,049 to $41,930"
"2007","21","21000","Kentucky","4,120,526","706,947","692,722","721,172","692,722 to 721,172","17.2","16.8","17.5","16.8 to 17.5","981,690","231,398","224,230","238,566","224,230 to 238,566","23.6","22.8","24.3","22.8 to 24.3","701,804","149,095","142,855","155,335","142,855 to 155,335","21.2","20.4","22.1","20.4 to 22.1","272,533","75,890","72,409","79,370","72,409 to 79,370","27.8","26.6","29.1","26.6 to 29.1","$40,299","$39,795","$40,802","$39,795 to $40,802"
"2006","21","21000","Kentucky","4,087,460","694,866","681,445","708,288","681,445 to 708,288","17.0","16.7","17.3","16.7 to 17.3","979,657","226,101","219,415","232,787","219,415 to 232,787","23.1","22.4","23.8","22.4 to 23.8","703,092","147,717","141,820","153,614","141,820 to 153,614","21.0","20.2","21.8","20.2 to 21.8","269,973","72,114","68,723","75,505","68,723 to 75,505","26.7","25.5","28.0","25.5 to 28.0","$39,318","$38,806","$39,829","$38,806 to $39,829"
"2015","22","22000","Louisiana","4,541,708","885,846","868,463","903,229","868,463 to 903,229","19.5","19.1","19.9","19.1 to 19.9","1,100,207","309,187","300,054","318,320","300,054 to 318,320","28.1","27.3","28.9","27.3 to 28.9","790,296","211,026","203,461","218,591","203,461 to 218,591","26.7","25.7","27.7","25.7 to 27.7","305,589","94,525","89,832","99,218","89,832 to 99,218","30.9","29.4","32.4","29.4 to 32.4","$45,829","$45,174","$46,484","$45,174 to $46,484"
"2014","22","22000","Louisiana","4,518,537","898,902","882,243","915,561","882,243 to 915,561","19.9","19.5","20.3","19.5 to 20.3","1,097,124","307,469","298,623","316,315","298,623 to 316,315","28.0","27.2","28.8","27.2 to 28.8","790,147","207,577","200,114","215,040","200,114 to 215,040","26.3","25.4","27.2","25.4 to 27.2","302,769","95,627","91,157","100,097","91,157 to 100,097","31.6","30.1","33.1","30.1 to 33.1","$44,680","$43,971","$45,389","$43,971 to $45,389"
"2013","22","22000","Louisiana","4,494,987","897,284","879,370","915,198","879,370 to 915,198","20.0","19.6","20.4","19.6 to 20.4","1,097,099","311,059","300,839","321,279","300,839 to 321,279","28.4","27.5","29.3","27.5 to 29.3","789,015","212,904","204,048","221,760","204,048 to 221,760","27.0","25.9","28.1","25.9 to 28.1","303,097","93,475","88,651","98,299","88,651 to 98,299","30.8","29.2","32.4","29.2 to 32.4","$44,234","$43,412","$45,056","$43,412 to $45,056"
"2012","22","22000","Louisiana","4,471,146","900,395","884,176","916,614","884,176 to 916,614","20.1","19.7","20.5","19.7 to 20.5","1,100,672","315,185","305,973","324,397","305,973 to 324,397","28.6","27.8","29.4","27.8 to 29.4","788,482","214,695","206,688","222,702","206,688 to 222,702","27.2","26.2","28.2","26.2 to 28.2","308,524","97,087","92,654","101,520","92,654 to 101,520","31.5","30.1","32.9","30.1 to 32.9","$42,998","$42,346","$43,650","$42,346 to $43,650"
"2011","22","22000","Louisiana","4,445,402","910,266","894,522","926,010","894,522 to 926,010","20.5","20.1","20.9","20.1 to 20.9","1,102,175","317,946","309,922","325,970","309,922 to 325,970","28.8","28.1","29.5","28.1 to 29.5","787,849","214,049","206,892","221,206","206,892 to 221,206","27.2","26.3","28.1","26.3 to 28.1","310,487","100,423","96,516","104,330","96,516 to 104,330","32.3","31.0","33.6","31.0 to 33.6","$41,804","$41,290","$42,318","$41,290 to $42,318"
"2010","22","22000","Louisiana","4,413,869","831,512","816,150","846,874","816,150 to 846,874","18.8","18.5","19.1","18.5 to 19.1","1,100,581","302,056","292,729","311,383","292,729 to 311,383","27.4","26.6","28.2","26.6 to 28.2","788,832","197,278","189,030","205,526","189,030 to 205,526","25.0","24.0","26.0","24.0 to 26.0","308,385","101,442","97,102","105,782","97,102 to 105,782","32.9","31.5","34.3","31.5 to 34.3","$42,510","$41,852","$43,168","$41,852 to $43,168"
"2009","22","22000","Louisiana","4,367,639","769,001","752,741","785,262","752,741 to 785,262","17.6","17.2","18.0","17.2 to 18.0","1,106,833","274,805","265,854","283,757","265,854 to 283,757","24.8","24.0","25.6","24.0 to 25.6","790,544","180,638","172,898","188,378","172,898 to 188,378","22.8","21.9","23.8","21.9 to 23.8","313,671","91,417","86,924","95,910","86,924 to 95,910","29.1","27.7","30.6","27.7 to 30.6","$42,460","$41,862","$43,058","$41,862 to $43,058"
"2008","22","22000","Louisiana","4,290,035","755,150","738,919","771,381","738,919 to 771,381","17.6","17.2","18.0","17.2 to 18.0","1,094,242","274,238","265,430","283,046","265,430 to 283,046","25.1","24.3","25.9","24.3 to 25.9","784,718","179,507","171,718","187,296","171,718 to 187,296","22.9","21.9","23.9","21.9 to 23.9","304,568","90,216","85,981","94,450","85,981 to 94,450","29.6","28.2","31.0","28.2 to 31.0","$43,635","$43,018","$44,252","$43,018 to $44,252"
"2007","22","22000","Louisiana","4,166,740","783,922","769,975","797,869","769,975 to 797,869","18.8","18.5","19.1","18.5 to 19.1","1,060,343","285,425","277,763","293,087","277,763 to 293,087","26.9","26.2","27.6","26.2 to 27.6","761,708","191,094","184,261","197,927","184,261 to 197,927","25.1","24.2","26.0","24.2 to 26.0","293,136","89,242","85,683","92,801","85,683 to 92,801","30.4","29.2","31.7","29.2 to 31.7","$40,866","$40,421","$41,311","$40,421 to $41,311"
